SL,Monomer 1,Monomer 2
112,C=CCc1cccc(C=C)c1,CC(C)(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)NCC1(C)CC(NC(=O)OCC(OCC(O)COC(=O)NCC2(C)CC(OCC(C)(C)C(=O)OCC3(C)CC(OCC(C)(C)C(=O)OCC4(C)CC(OCC(C)(C)C(=O)OCC5(C)CC(OCC(C)(C)C(=O)OCC6(C)CC(OCC(C)(C)C(=O)OCC7(C)CC(OCC(C)(C)C(=O)OCC8(C)CC(OCC(C)(C)C(=O)OCC9(C)CC(OCC(C)(C)C(=O)OCC10(C)CC(OCC(C)(C)C(=O)OCC11(C)CC(OCC(C)(C)
113,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,O=CCOCCOCCOCCOCCOCCOCCOCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC
114,CC(=O)OCCOC(=O)C(C)(C)OCC(O)COc1ccc(C(C)(C)C(=O)OCC(O)COc2ccc(OCC(O)COC(=O)C(=C)C)cc2C(=O)OCC(O)COc3ccc(C(=C)OCC(O)COC(=O)C(=C)C)cc3C(=O)OCC(O)COc4ccc(C(=C)OCC(O)COC(=O)C(=C)C)cc4C(=O)OCC(O)COc5ccc(C(=C)OCC(O)COC(=O)C(=C)C)cc5C(=O)OCC(O)COc6ccc(C(=C)OCC(O)COC(=O)C(=C)C)cc6C(=O)OCC(O)COc7ccc(C(=C)OCC(O)COC(=O)C(=C)C)cc7C(=O)OCC(O)COc8ccc(C(=C)OCC(O)COC(=O)C(=C),s
115,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC1(C)CC(O)(CO)CC1C
116,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C
117,C=C(C)C(O)Cc1cccc(O)c1,C=C(CCS)OCCn1c(=O)n(CCS)c(=O)n(CCS)c(=O)n(CCS)c1=O
118,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,NCc1cccc(CN)c1
119,C=C(C)C(=C)OCCOC(=O)CC(=C)OCCOC(=O)CC(=C)OCCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O),CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC
120,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCCC(=O)OCCCCC
121,C=C(C)C(=O)OCC(O)COc2ccc(C(O)CCO)c1c(CC1=O)c(CC2=O)cc(C41=CC(O)CC4=C)cc2C(=C)C(=O)OCC(O)COc3ccc(C(O)CC3O)c6c5CCC(=C5)CC(=C6)c(=O)C(=O)OCC(O)COc9ccc(C(O)CC8O)c7c9(CC(=O)OCC(O)COCC(=O)O)CC(=C)C(=C7)OCC(O)COCC(=O)OCC(O)COC(=O)C(=O)OCC(O)COC(=O)C(=O)OCC(O)COCC(=O)OCC(O)COc4ccc(C(O)CC4O)c(c2c3CCC(=C3)CC(=C2)c(=O)C(=O)OCC(O)COc8ccc(C(O)CC7O)c6c8(CC(=O)OCC(O)COCC(=O)O))c1c(c0,designed
122,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)N
123,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,CCC(=O)OCC(CC)(COC(=O)CC)COC(=O)CCOCC(C)(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOC(=O)CCOCC(C)(C)OCCOCCOCCOCCOCCOCCOCC(C)(C)OCCOCCOCCOCCOCCOCCOCCOCCOCC(C)(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)
124,C=C(C)C(=O)OCCOC(=O)C(=C)C,CC(C)(cccc2CC2)c1ccc(Oc3ccc(C(C)(C)C)cc3)cc1
125,CC(C)(c2ccc(OCC1CO1)c2)c4ccc(OCC3CO3)c4,CC(C)(C)N
